text,relevance,label
the main development objective of the second sulawesi urban development project is to improve the delivery of urban infrastructure services by local governments on a sustainable basis the more specific operational objectives of the project include a improving the provision of urban services b strengthening operations and maintenance activities for urban services and support improved planning programming budgeting financial management and local revenues generation by local governments and c improving urban environmental management and reducing local environmental impacts the project will not only fund infrastructure investments and their related needs but will also support a comprehensive implementation support strategy the infrastructure works to be carried out under the project include a urban planning b water supply c human wastesanitation d drainage and flood control e urban roads f solid waste management g kip kampung improvement program h markets and transport terminals i detailed design and j resettlement second sulawesi urban development project second sulawesi urban development project,1,Other-environment-protection-projects
app dry beneficiation of thermal coal in india to develop an effective dry deshaling process that can be commercially applied to remove unwanted impurit through virginia polytechnic institute and state university app dry beneficiation of thermal coal in india to develop an effective dry deshaling process that can be commercially applied to remove unwanted imp app dry beneficiation of thermal coal in india to develop an effective dry deshaling process that can be commercially applied to remove unwanted imp,0,None
the main project objective is to encourage foreign and indigenous investment in the industrial and agroindustries sectors the project broadly addresses constraints to investment through interventions in the financial sector investment promotion agroindustrial development and strengthening of key industrial and financial institutions project components are a term credit and an equity fund designed to increase access to financial services currently not available in lesotho b support for the commercial operation of key agroindustrial parastatals through management contracts and training c support for timely provision of infrastructure for industrial estates and d institutional strengthening and training to i strengthen investment promotion ii build the project appraisal and management capacity of financial institutions iii improve institutional performance of corporations iv train entrepreneurs and labor in management and technical skills necessary to improve the quality and competitiveness of lesothomade products and v carry out studies to identify reforms and services needed to improve lesothos investment environment industrial agroindustries development project industrial agroindustries development project,0,None
water supply sanit large systems adapting to climate change by making better use of bioenergy resources latin america and the caribbean,1,Adaptation
brief description of the project this project is a second phase of a research program started in for the development of artisanal and alternative technologies based on better use of domestic water paper recycling and the use of solar energy for cooking in the first phase the foundations were laid for the development of these technologies and in this phase the details will be deepened to reduce costs improve efficiencies and in some cases validate the field in rural communities original channelcode own call of interest project program for the research on alternative technology in huehuetenango guatemala own call of interest project program for the research on alternative technology in huehuetenango guatemala,1,Solar-energy
the project will produce a photographic field guide to the birds mammals plants and marine life of the tristan da cunha group and nearby gough island environmental policy and admin mgmt tristan da cunha field guide to plants and animals,1,Biodiversity
nigeria electricity and gas improvement project add financing nigeria electricity and gas improvement project add financing,0,None
with the completion of the maribsafir road project the country seeks to a facilitate substitution of domestic oil for imported products by permitting the transport of refined products from a refinery at the oil field to domestic markets it will also b facilitate the further development of the oil fields c provide road access for the movement and marketing of agricultural products from the wadi as sudd area and d increase the capability of the highway authority ha to design road works the project itself consists of the second phase which involves completion to paved standard of the maribsafir road km it is designed to connect the paved road network at marib with the oil field and refinery at safir and also serve an agricultural area for the first km marib safir road project yar marib safir road project yar,0,None
this initiative particularly seeks to move four major global fisheries towards sustainability whitefish tuna shrimp and forage this support will focus on reducing illegal unregulated and unreported iuu fishing and negotiations regarding sustainable production of tuna tropical shrimp and whitefish in madagascar focus will on tuna fisheries in the indian ocean smart fishing initiative west indian ocean smart fishing initiative west indian ocean,0,None
the goal of the canadiancaribbean cooperation fund ccf is to advance public sector reform and to contribute to improving the environment for business development in the caribbean the purposes are to strengthen public sector entities for the effective and efficient delivery of services and to address bottlenecks to private sector development and business investment public works and government services canada pwgsc is the organisation responsible for managing the ccf on behalf of cida pwgsc has established a network of local fund coordinators currently based in guyana antigua and jamaica who have been contracted to serve local needs facilitate the application process and monitor local ccf initiatives the ccf provides technical assistance in response to initiatives proposed by local government ministries regional organisations business associations or institutions such as universities these initiatives aim primarily to increase local governments capacities to formulate effective policies to deliver efficient services and to enhance the climate for business development the ccf has supported more than caribbean initiatives including development of a regional spectrum management policy framework for telecommunications harmonization legislative drafting training in guyana and jamaica a regional freedom of information workshop debt restructuring assistance to dominica antigua and belize and egovernance training in jamaica le fonds canadien de coopération pour les caraïbes a pour objectif de faire avancer la réforme du secteur public et daméliorer les conditions propices au développement commercial dans les caraïbes il vise à renforcer les entités du secteur public pour une prestation optimale des services et régler les obstacles au développement du secteur privé et aux investissements commerciaux travaux publics et services gouvernementaux canada tpsgc gère le fonds au nom de lacdi ce ministère a établi un réseau de coordonateurs locaux des fonds dont les bureaux sont situés au guyana à antigua et en jamaïque ils ont été embauchés pour répondre aux besoins de la population locale faciliter le processus de demande et surveiller les initiatives locales associées à ce fonds le fonds fournit une aide technique dans le cadre dinitiatives proposées par des ministères locaux des organisations régionales des associations commerciales ou des institutions telles que des universités ces initiatives visent surtout à renforcer les capacités des gouvernements locaux dans la formulation de politiques efficaces la prestation efficace de services et lamélioration des conditions propices au développement commercial le fonds a appuyé plus de initiatives des caraïbes dont lélaboration dun cadre stratégique régional de gestion du spectre pour harmoniser les télécommunications une formation en rédaction législative au guyana et en jamaïque un atelier régional sur la liberté daccès à linformation canadiancaribbean cooperation fund fonds canadien de coopération pour les caraïbes canadiancaribbean cooperation fund fonds canadien de coopération pour les caraïbes,0,None
reduce and protect vulnerable nuclear and radiological material located at civiliansites worldwide energy policy and admin management department of energy office of global nuclear material threat reduction na,0,None
the main objectives of the fourth rural dredit project are a to stimulate growth and diversification of agriculture by financing investments by farmers collectives and enterprises and b to promote efficiency of rural financial intermediation through introduction of sound marketoriented policies and development of the main institutions concerned with rural savings mobilization and lending the project funds will be used to provide subloans to expand production of commercial agricultural products including crops livestock and fisheries and for agroprocessing and marketing facilities mainly in the autonomous region of inner mongolia five provinces of shaanxi lianoning jilin jiangxi and guangdong and beijing municipality the project also provides technical assistance to the agricultural bank of china to continue its institutional development focussing on broader issues in financial management loan policies and procedures management information system and human resource development and make important contributions to special emphasis areas including environment protection and poverty alleviation rural credit project rural credit project,0,None
the australiaasia program to combat trafficking in persons aaptip will provide technical assistance to improve national and regional criminal justice capacities and improve policy formulation a research fund to bolster policy formulation and a new coordination partnerships and advocacy role and chair the regional dialogue and policy table the total value of this initiative is million over years starting australiaasia program to combat trafficking in persons program and advocacy australiaasia program to combat trafficking in persons program and advocacy,0,None
instrument istisnaa sector energy gafsa gas pipeline gafsa gas pipeline,0,None
vistar ii strengthening resilience of communities and institutions from the impacts of natural disasters in far and mid western region of nepal disaster preparedness disaster preparedness,1,Adaptation
nd improvement of quality of life of families of small farmers from oxapampa province pasco peru through strengthening of productive trading ca improvement of quality of life of families of small farmers from oxapampa province pasco peru through strengthening of productive and trading,0,None
secured landscapes sustaining ecosystem and carbon benefits by unlocking reversal of emissions drivers in landscapes the project will contribute to the development and promotion of sustainable multifunctional landscapes in vietnam that are climate smart ecoefficient and development friendly through action research on landscape approaches to emission reductions with sustainable benefits done in an effective efficient and equitable manner secured landscapes sustaining ecosystem and carbon benefits vietnam secured landscapes sustaining ecosystem and carbon benefits vietnam,1,Other-mitigation-projects
the water resource management in the catchment areas of the rivers chillón rímac and lurín chirilu is aligned to climate change adaptation with the participation of the private sector adaptation of water resource management in urban areas to climate change with private sector adaptation of water resource management in urban areas to climate change with private sector,1,Adaptation
orientation visit aceh geothermal development geothermal development orientation visit aceh geothermal development,1,Geothermal-energy
conserve biodiversity and manage natural resources in ways that maintain their longterm viability and preserve their potential to meet the needs of present and future generations activities include combating illegal and corrupt exploitation of natural resources and the control of invasive species programs in this element should be integrated with the agriculture area under economic growth and conflict mitigation and reconciliation area under the peace and security objective when applicable a us government department of agriculture natural resources and biodiversity natural resources and biodiversity,1,Biodiversity
the bacon manito geothermal power project constitutes an integrated approach to resource development power generation and transmission the projects main objectives are to a develop an exisitng geothermal steam field and a new power plant at bacon manito b support the delineation and the assessment of geothermal sites for use in luzon csupport measures for upgrading and expanding system facilities and d support institution building and financial recovery at npc national power corporation the project provides for drilling of about wells and construction of a steamgathering system construction of a power plant construction of single and double circuit transmission lines rehabilitation of substations and extension of communication links and consultancy services bacon manito geothermal development project bacon manito geothermal development project,1,Geothermal-energy
the coastal wetlands protection and development project will reestablish the coastal mangrove wetland ecosystems along the mekong delta and protect its aquatic nurturing for the development of the sustainable coastal protection it stands for the components include provision of seedlings civil works and equipment supply for planting rehabilitation and protection of mangrove forests barren degraded or under new accretion land project management and training will focus on the protection of newly planted or existing forests and improved forest conservation and fish sanctuaries management practices will be implemented institutional strengthening of the vietnam bank for agriculture and rural development and training to improve creditability and grass roots organizationsfarmer group demonstrations extension technology development and transfer will improve farm productivity decreasing farming risks social support for the development and implementation of commune action plans and establishment of communal grants and social funds technical assistance and training for policy development assistance to improve land and water uses allocation and restructure selected enterprises resettlement plans to assist affected groups and environmental assessment of biodiversity and socioeconomic impacts coastal wetlands protection and development project coastal wetlands protection and development project,1,Nature_conservation
promotion of grassroots initiatives and local ngos for research into agricultural biodiversity as a contribution to fighting hunger using diversity exploring linkages between land rights mixed cropping and uncultivated foods using diversity exploring foods linkages between land rights mixed cropping and uncultivated,1,Biodiversity
development of radioactive waste and spent fuel management strategy for armenia a development of radioactive waste and spent fuel management strategy for armenia a development of radioactive waste and spent fuel management strategy for armenia a,0,None
the recipient will train community members to conduct daily patrols along km of nesting beach in river cess county to count and protect nests and nesting females provide environmental education programs at local schools and assist communities to develop alternative livelihood sources as a replacement from traditional consumption of turtles and eggs marine turtle conservation fund marine turtle conservation fund,1,Biodiversity
administration and management of networks of natural community protected areas in the selva lacandona sierracosta de chiapas regions phase iv wildlife without borders mexico wildlife without borders mexico,1,Biodiversity
the central objective is to assist the government in implementing sectoral policies and plans that aim to i lay the foundation for future resource and environmental management by clarifying the legal framework institutionalizing the environmental assessment ea process in the public and private sector training professionals in environmental and natural resource management establishing a system for environmental information and data supporting institutional strengthening in the center and the regions and supporting the economic analysis of selected environmental problems ii strengthen the environmental management capacity of priority sectors by reducing rapid degradation of renewable resources like forestry fisheries soil and water and iii provide health benefits to the citizens of chile especially in urban areas and locations affected by industrial or mining pollutants environmentalinstitutional development project environmentalinstitutional development project,1,Other-environment-protection-projects
protect the rural territory as a system of relations between man and the environment by promoting sustainable agroforestry systems that contrast the ongoing desertification process and promote food security integrated fight against desertification and strengthening food security in the province of boulkiemdé integrated fight against desertification and strengthening of security food in the province of boulkiemdé,1,Sustainable-land-use
kenya agricultural productivity and agribusiness project kenya agricultural productivity and agribusiness project,0,None
this proposal will contribute to improving the living conditions of a large part of the beneficiary population especially women for this initiatives will be promoted that allow the recognition and promotion of their economic and social rights and that will have as a target group the rights holders obligation holders and responsibility holders taking as a starting point the lessons learned from previous pampd experiences in the affected countries the intervention will contemplate as main actions launching new income generating ideas based on a socioeconomic analysis with a gender perspective of intervention areas that include both guaranteeing food security and access to microcredits support for the creation of development centers from where various services will be articulated aimed at supporting business and social initiatives campaigns for the prevention of domestic violence initiatives that promote the empowerment of women and the restoration of their social and civil rights economic and social empowerment with gender approach in cambodia east timor and vietnam economic and social empowerment with gender approach in cambodia east timor and vietnam,0,None
to strength en the capacity of kazakhstans human resources through the training of a core group of managers in the pipeline industry to encourage the equal participation of women in the emerging petroleum i ndustry pipeline systems training pipeline systems training in k,0,None
the general objectives of the ulaanbaatar services improvement project are to assist the government to i address the inequity of services between ger and formal housing areas thereby improving the quality of life of the lowincome population ii restore levels and quality of water supply services in the municipality and make that supply accessible to the ger areas and iii develop more efficient and autonomous performanceoriented institutions with a view to eventual privatization projects specific objectives are to i improve the quality quantity and reliability of water supply ii substantially lower the unit cost of water supply to ger areas iii improve ger area infrastructure iv arrest the deterioration in and improve the reliability and quality of the city water distribution system v reduce water wastage the production of nonrevenueproducing water and water production costs vi replace the current normbased water and sanitation billing system to one that is quantitybased and vii develop the water and sanitation company of ulaanbaatars usags capabilities for financial and operational management and convert it into a selffinancing commerciallyoriented public utility the project will include physical investments such as strengthening of water supply distribution network concrete reservoirs construction insulated pipelines water leakage and wastage reduction program equipment and tools for maintenance and meter repair workshops sewer observation and cleaning equipment and ger area infrastructure upgrading program and institutional component consisting of technical assistance in project management institutional strengthening of usag studies reviewing the longterm development and planning of ger areas and definition of appropriate levels of public services and development of and training in a computerized usag billing and collection system for metered supplies reported as purposecode ulaanbaatar services improvement project ulaanbaatar services improvement project,0,None
afdb sector power afdb subsector electricity scalingup energy access project scalingup energy access project,0,None
this project will delineate critical wintering habitat for neotropical migratory shorebird species along the coastline of pará and maranhão states map areas most threatened by shrimp farming and translate all products into portuguese and introduce these to key brazilian biologists and conservation policy specialists the matchfunded activities restored miles of delaware bay stopover habitat for the same shorebird populations that winter in brazil shorebird conservation in brazil delaware bay shorebird conservation in brazil delaware bay,1,Biodiversity
improvement of waste disposal eqpt project for improvement of waste disposal equipment,0,None
chile marine energy road map chile marine energy road map chile marine energy road map,1,Marine-energy
enabling activities to review and update the national implementation plan for the stockholm convention on persistent organic pollutants pops enabling activities to review and update the national implementation plan for the stockholm convention on persistent organic pollutants pops enabling activities to review and update the national implementation plan for the stockholm convention on persistent organic pollutants pops,1,Other-environment-protection-projects
the objectives of the irrigation rehabilitation and restructuring project are to enable private farmers to fully regain the potential of the irrigated agriculture sector through rehabilitating three deteriorated irrigation schemes with high priorities and to enhance the sustainability and efficiency of the irrigation schemes by introducing participatory management the project consists of the following five components rehabilitating irrigation infrastructure in three regions including tikves bregalnica and polo an institutional development program including subcomponents of a a series of pilot programs to develop water user associations wuas improve onfarm irrigation practices and explore the possibilities for user participation in minor repairs b a study on bregalnica water resource management and c support to restructuring water management organizations wmos through legal advice and technical support a technical studies program for specific problems including dam safety algae and repair of the systems project administration and monitoring and implementation support for wmos irrigation rehabilitation project irrigation rehabilitation project,0,None
the lccc programme has two objectives pilot municipalities participating in the programme have defined long term low carbon scenario and reduced their coemissions pilot municipalities are aware of and generate significant socioeconomic benefits from their lowcarbon vision and plans to reach these objectives the following six main outcomes have to be attained reduced carbon and energy intensity and increased share of renewable energies in municipalities participating in the programme municipalities proactively support the development and implementation of provincial climate change programmes buildings are newly constructed or rehabilitated according to enhanced low carbon standards and are better prepared for climate change impacts future public and private mobility is more efficient and less polluting public industries utilities and facilities operate more efficient less polluting and are better prepared for climate change impact municipalities have strengthened spatial planning capacities and capacities to better manage the new low carbon approach low carbon cities programme low carbon cities programme,1,Other-mitigation-projects
tthe solid waste management project is to be the first in a series of environmentallyoriented activities which will ensure the future maintenance of environmental quality in the organization of eastern caribbean states oecs countries the objective of this operation is to reduce public health risks and protect the environmental integrity of the island and their costal and marine systems by improving domestic solid waste management facilities and facilitating compliance with the special area designation of the caribbean sea the project will reduce terrestrial and marine pollution in this area through avoiding and discouraging indiscriminate disposal of solid waste both on and off shore a further objective is to significantly enhance public health and environmental quality by strengthening the countries capacities to effectively manage and dispose of solid waste in an environmentally sustainable manner more specifically project objectives are to assist the oecs governments to a improve the coverage and effectiveness of domestic solid waste collection and disposal facilities b reduce pollution of international and territorial waters caused by shipgenerated solid waste c improve the collection treatment and disposal of shipgenerated solid wastes d assist the beneficiary countries in the establishment of appropriate legal and institutional frameworks to enable effective management and disposal of shore and shipgenerated waste e assist in the preparation of plans and programs to address the problems of collection treatment and disposal of liquid waste and f identify regional opportunities for reduction recovery and recycling of solid waste oecs shipgenerated waste management project oecs shipgenerated waste management project,1,Other-environment-protection-projects
the objective of the industrial pollution prevention project is to assist in the implementation of the governments policy on pollution abatement and promote costeffective pollution abatement from industrial sources the project will focus on the most polluting industrial sectors and comprises three components a an institutional component b an investment component and c a technical assistance component the institutional component is designed to support a program of strengthening of the state pollution control boards the investment component is designed to support subprojects by individual firms for pollution abatement with a focus on waste minimization and adoption of cleaner methods of production the technical assistance component is designed to support i the establishment of a clean technology institutional network ii extension services for the identification of waste minimization and abatement methods for small scale industry iii preinvestment studies and iv finance for other training and consulting services including the training requirements for the preparation of environmental statements by industries industrial pollution prevention project industrial pollution prevention project,1,Other-mitigation-projects
regional partnership on the enhanced integration of renewable energies into the island network fexte renewable energies mauritius fexte renewable energies mauritius,1,Renewables-multiple
the coordination of the river basin management between the member states of the cicos corresponds to the requirements of the applicable agreements in the area of inland navigation regulation and in crossborder water resource management transboundary water management in the congo bassin transboundary water management in the congo bassin,0,None
pha lai coalfired power plant pha lai thermal power plant project i pha lai thermal power plant project i,0,None
support for the implementation of the german development cooperation aims forestry research forestry research,0,None
electricity reform and extension ghana the overall objective of the program is the sustainable improvement and extension of electricity distribution at affordable prices and the promotion of commercial utility practices in ghana the program will look at improving the performance of the electricity company of ghana ltd ecg and eventually the northern electricity department ned as well as financing the expansion of the distribution system in poor areas mainly in urban settings ecg is a state owned utility in charge for the distribution of electricity in the southern regions of ghana after the merger with northern electricity department ned which is a part of the volta river authority vra ecg will be in charge for the electricity distribution all over ghana currently the ecg and ned suffer from insufficient billing and collection high figures of payment arrears by the customers currently of the annual revenues and high system losses a result of the poor financial situation is the insufficient coverage of the service areas which means that especially the poorer households have to rely on alternative fuels for electricity production or preparation of food diesel wood etc the program consists of components that is i technical assistance to the public regulatory commission purc ii technical assistance to ecg and ned iii poverty oriented grid expansion and iv monitoring consultant electricity sector reform and grid extension electricity sector reform and grid extension,0,None
improve sustainability of a productive and clean environment by reducing risks to the health of the workforce and the population in general communities and ecosystems from environmental pollution and other environmental risks associated with industrial and agricultural production urbanization energy use transport and other human activity clean productive environment clean productive environment,1,Other-environment-protection-projects
project to upgrade and expand the infrastructure for water supply waster water electricity and roads in windhoek the capital of namibia windhoek infrastructure ii windhoek infrastructure ii,0,None
programme climate description curbing brazils transport emissions trajectory by transforming city mobility brazil mobility request to avoid the projected growth in brazils urban transport emissions by helping cities in brazil reduce cardependency and promote a transitoriented model of development world resources institute world resources institute,1,Other-mitigation-projects
the energy emergency assistance project responds to the urgent request made by the government of the kyrgyz republic gokr to support implementation of the governments energy emergency mitigation action plan eemap and improve energy security in the country the objectives of the eemap include i sustaining thermal and heat energy supply in the shortest possible timeframe ii initiating preparatory actions for the next two winters when the energy situation is likely to remain in deficit and iii identifying actions to be implemented over the medium and longterm to improve the energy security of the country the project will contribute to the implementation of the eemap and the rehabilitation of the electricity and heat systems an outcome will be improved reliability of the thermal power generation and district heating systems and access to energy sources in the coming winters the project supports the gokr efforts to reduce shortages of power and heat supply during the winter in that regard the benefits are additional giga watt hours of energy and about giga calories of heat in the case of energy this production represents percent of the total production gap but for heating this amount represents percent of the total winter heat supply to bishkek and osh district heating systems emergency energy assistance emergency energy assistance,0,None
climate adaptation and mitigation program for aral sea basin campasb climate adaptation and mitigation program for aral sea basin campasb,1,Adaptation
the purpose of this project is to study some of the feasibility aspects for creating alternative gas transit route through caspian sea from kazakhstan to azerbaijan the study will be complimentary to the above mentioned studies undertaken by the ust fwc study on the transcaspian gas pipeline from kazakhstan to azerbaijan fwc study on the transcaspian gas pipeline from kazakhstan to azerbaijan,0,None
the overall objectives of the sulawesi agricultural area development project are to assist the government in reducing the incidence of poverty in the provinces of central and southeast sulawesi through the increase of rural incomes the promotion of equitable regional development the promotion of environmentally sustainable farming practices and the strengthening of local level institutions the specific objectives of the project are to increase farmer productivity and incomes promote environmentally sustainable farming practices and improve the capacity of local institutions to identify prepare appraise and manage agricultural development programs the project has three broad components agriculturebased area development including a crop development program livestock management and veterinary care farm access roads and community based initiatives project management and capacity strengthening of local agricultural support services comprising the rehabilitation and improvement of facilities training workshops seminars and technical assistance and farming systems and fisheries research support and technology transfer sulawesi agricultural area development project sulawesi agricultural area development project,1,Sustainable-land-use
programme conservation and sustainable development description to secure and improve the ecological integrity of rugezi marsh and other key wetlands in rwanda over three years international crane foundation world center for the study and preservation of cranes international crane foundation world center for the study and preservation of cranes,1,Nature_conservation
the supply of households and industry with renewable energy is improved renewable energy and energy efficiency programme renewable energy and energy efficiency programme,1,Renewables-multiple
reference tacisa enhancement of the safety assessment capabilities of a enhancement of the safety assessment capabilities of the armenian nuclear regulatory authority anra for licensing of medzamor safety imp a enhancement of the safety assessment capabilities of the armenian nuclear regulatory authority anra for licensing of medzamor safety improvements and decommissioning activities activities,0,None
gest durable res nat for the conservation of nature regions in madagascar environmental research sustainable management of natmadagascar resources,1,Nature_conservation
the poverty reduction strategy paper prsp provides a comprehensive diagnosis of the causes of poverty and outlines the key objectives and actions required for reducing it the surveys and the national rapid poverty assessments npas carried out at the grassroots level confirm that living conditions in rwanda while slowly improving since continue to be very poor particularly in rural areas development partners strongly supported rwandas prsp process and have universally commended the government of rwanda gor for the consultative manner through which it was developed the prsp was endorsed by the boards of the bank and fund on august the strategy was complemented by the development of an mediumterm expenditure framework mtef the prsp identifies the private sector as the main engine of growth with the transformation of agriculture and the rural economy as the leading source of growth in the near to medium term to deal with the legacies of genocide and structural impediments to economic transformation the prsp outlines five basic building blocks for economic growth and poverty reductionmacroeconomic stability human development good governance partnership and the prioritization of public actionsand six priority action areas a rural development and agricultural transformation b human development c economic infrastructure d good governance e private sector development and f institutional capacity building see box the prsp stresses the importance of defining sectoral strategies and associated mtefs to guide public actions for implementation poverty reduction support credit health water energy education poverty reduction support credit health water energy education,0,None
